"","model2.coefficients"
"(Intercept)",349.098190259299
"v_intra_ATRL",-230.078464070034
"v_intra_ATRR",70.8211066286743
"v_intra_CSTL",13.9526121565269
"v_intra_CSTR",-13.7696980306233
"v_intra_CGL",-103.961564930688
"v_intra_CGR",3.37959927058888
"v_intra_FMAJ",13.1800420293152
"v_intra_FMIN",57.1290759948606
"v_intra_IFOFL",-49.389129355421
"v_intra_IFOFR",38.5016667645406
"v_intra_ILFL",26.0276106754175
"v_intra_ILFR",-255.168079258201
"v_intra_SLFL",118.007306558102
"v_intra_SLFR",-104.543938575849
"v_intra_UFL",-104.892154338784
"v_intra_UFR",95.6781551450133
"v_intra_SLFTL",-13.9789431980605
"v_intra_SLTFR",6.77443638412815
"v_intra_Middlecerebellarpeduncle",-65.7145652306833
"v_intra_Pontine",-16.0516364207539
"v_intra_GenuCC",-26.6882753781515
"v_intra_BodyCC",101.914676316257
"v_intra_SpleniumCC",-116.709983089788
"v_intra_Fornix",-9.42720333299925
"v_intra_CorticospinaltractR",3.46226186068063
"v_intra_CorticospinaltractL",12.2813659640652
"v_intra_MediallemniscusR",-45.0054034879831
"v_intra_MediallemniscusL",20.0675954207158
"v_intra_InferiorcerebellarpeduncleR",74.1400765495381
"v_intra_InferiorcerebellarpeduncleL",-35.2524106536466
"v_intra_SuperiorcerebellarpeduncleR",30.5103285219104
"v_intra_SuperiorcerebellarpeduncleL",5.88587683445555
"v_intra_CerebralpeduncleR",25.2318798002664
"v_intra_CerebralpeduncleL",-44.1279171654796
"v_intra_AnteriorlimbofinternalcapsuleR",-28.2782099884236
"v_intra_AnteriorlimbofinternalcapsuleL",36.8637320655238
"v_intra_.PosteriorlimbofinternalcapsuleR",186.032953256093
"v_intra_PosteriorlimbofinternalcapsuleL",5.029977825092
"v_intra_RetrolenticularpartofinternalcapsuleR",-32.6932138240086
"v_intra_RetrolenticularpartofinternalcapsuleL",177.16787658955
"v_intra_AnteriorcoronaradiataR",-102.420330375957
"v_intra_AnteriorcoronaradiataL",47.8338693038126
"v_intra_SuperiorcoronaradiataR",-89.2535353681712
"v_intra_SuperiorcoronaradiataL",-20.5161265082297
"v_intra_PosteriorcoronaradiataR",4.56796158553392
"v_intra_PosteriorcoronaradiataL",97.4810516575522
"v_intra_PosteriorthalamicradiationR",78.1680999311776
"v_intra_PosteriorthalamicradiationL",77.9075859026837
"v_intra_SagittalstratumR",119.25384722521
"v_intra_SagittalstratumL",-23.356519532593
"v_intra_ExternalcapsuleR",-42.1510289521614
"v_intra_ExternalcapsuleL",89.2877622972419
"v_intra_CingulumcingulategyrusR",11.2285922658285
"v_intra_CingulumcingulategyrusL",-7.32416859831823
"v_intra_CingulumhippocampusR",82.4075633038097
"v_intra_CingulumhippocampusL",19.0890425833245
"v_intra_Fornix_StriaterminalisR",-42.3208786707901
"v_intra_Fornix_StriaterminalisL",55.5162262122736
"v_intra_SuperiorlongitudinalfasciculusR",89.1012897165012
"v_intra_SuperiorlongitudinalfasciculusL",-57.102321026715
"v_intra_SuperiorfrontooccipitalfasciculusR",19.7226591796156
"v_intra_SuperiorfrontooccipitalfasciculusL",12.2545634008823
"v_intra_UncinatefasciculusR",45.5749004735435
"v_intra_UncinatefasciculusL",-9.32151724243173
"v_intra_TapetumR",25.8439064826797
"v_intra_TapetumL",-18.6548970600588
"v_intra_Mean",48.0104154394056
"v_intra_CINGL",-33.1888627115775
"v_intra_CINGR",-81.7736209304914
"v_extra_ATRL",-17.8990193702946
"v_extra_ATRR",-47.3734706199336
"v_extra_CSTL",-14.9528582780018
"v_extra_CSTR",4.98007303192084
"v_extra_CGL",7.22036972548979
"v_extra_CGR",8.99005710667799
"v_extra_FMAJ",83.3129470100267
"v_extra_FMIN",36.0814806506904
"v_extra_IFOFL",-4.43279045283693
"v_extra_IFOFR",-54.7525838565046
"v_extra_ILFL",19.277311926788
"v_extra_ILFR",-13.5457291588808
"v_extra_SLFL",-16.8919078160807
"v_extra_SLFR",-0.804020496711856
"v_extra_UFL",12.4011535185703
"v_extra_UFR",11.2207667425215
"v_extra_SLFTL",7.04759250975154
"v_extra_SLTFR",6.31278678799621
"v_extra_Middlecerebellarpeduncle",-10.9259703751052
"v_extra_Pontine",1.74902238362688
"v_extra_GenuCC",-49.6054789539402
"v_extra_BodyCC",3.50212257786701
"v_extra_SpleniumCC",-90.7193953037292
"v_extra_Fornix",-1.21338706950383
"v_extra_CorticospinaltractR",-1.45204777012763
"v_extra_CorticospinaltractL",4.10821186330221
"v_extra_MediallemniscusR",-11.402469906229
"v_extra_MediallemniscusL",-9.95568057421399
"v_extra_InferiorcerebellarpeduncleR",22.6630257327338
"v_extra_InferiorcerebellarpeduncleL",14.5540256046789
"v_extra_SuperiorcerebellarpeduncleR",-5.28109506451522
"v_extra_SuperiorcerebellarpeduncleL",-4.1454668713762
"v_extra_CerebralpeduncleR",3.38686176858481
"v_extra_CerebralpeduncleL",5.11320862084287
"v_extra_AnteriorlimbofinternalcapsuleR",12.658673891932
"v_extra_AnteriorlimbofinternalcapsuleL",12.5250368987629
"v_extra_.PosteriorlimbofinternalcapsuleR",-4.22537574987691
"v_extra_PosteriorlimbofinternalcapsuleL",14.0686362675883
"v_extra_RetrolenticularpartofinternalcapsuleR",27.6304290470765
"v_extra_RetrolenticularpartofinternalcapsuleL",-23.4695440654455
"v_extra_AnteriorcoronaradiataR",-3.11781590123896
"v_extra_AnteriorcoronaradiataL",-21.0790053281258
"v_extra_SuperiorcoronaradiataR",7.0573571172575
"v_extra_SuperiorcoronaradiataL",-5.91796474019746
"v_extra_PosteriorcoronaradiataR",-7.11634522715352
"v_extra_PosteriorcoronaradiataL",-0.717334392787125
"v_extra_PosteriorthalamicradiationR",21.421269082527
"v_extra_PosteriorthalamicradiationL",-28.7316376569492
"v_extra_SagittalstratumR",24.8041983395605
"v_extra_SagittalstratumL",14.9732163109506
"v_extra_ExternalcapsuleR",16.8927831659183
"v_extra_ExternalcapsuleL",0.312412557672433
"v_extra_CingulumcingulategyrusR",1.32637259590805
"v_extra_CingulumcingulategyrusL",1.74815435145976
"v_extra_CingulumhippocampusR",7.58584690441427
"v_extra_CingulumhippocampusL",8.06125055217544
"v_extra_Fornix_StriaterminalisR",3.42708333683353
"v_extra_Fornix_StriaterminalisL",-3.3522203390674
"v_extra_SuperiorlongitudinalfasciculusR",-0.876661489375254
"v_extra_SuperiorlongitudinalfasciculusL",19.6614372331356
"v_extra_SuperiorfrontooccipitalfasciculusR",-20.618129100515
"v_extra_SuperiorfrontooccipitalfasciculusL",11.478765102712
"v_extra_UncinatefasciculusR",-3.99072534312648
"v_extra_UncinatefasciculusL",-1.62151818492577
"v_extra_TapetumR",4.85712941721799
"v_extra_TapetumL",-0.169004810859251
"v_extra_Mean",-15.9372375959536
"v_extra_CINGL",-9.23900409023725
"v_extra_CINGR",-7.00894695105106
"v_csf_ATRL",25.761976608554
"v_csf_ATRR",-12.6548863568389
"v_csf_CSTL",15.9683363256646
"v_csf_CSTR",-0.707789657342058
"v_csf_CGL",-10.5921883066416
"v_csf_CGR",-5.65895729114773
"v_csf_FMAJ",3.04609997115588
"v_csf_FMIN",9.82110680228291
"v_csf_IFOFL",1.1630845481163
"v_csf_IFOFR",40.5014776225137
"v_csf_ILFL",12.384670232741
"v_csf_ILFR",23.6862144705363
"v_csf_SLFL",33.397328353944
"v_csf_SLFR",14.3749782983228
"v_csf_UFL",-5.64883034577961
"v_csf_UFR",5.58880117194236
"v_csf_SLFTL",-2.53829195434846
"v_csf_SLTFR",12.2699508974747
"v_csf_Middlecerebellarpeduncle",-4.4353999526597
"v_csf_Pontine",3.81431586934165
"v_csf_GenuCC",0.560552482540666
"v_csf_BodyCC",-6.06940376570812
"v_csf_SpleniumCC",8.28366413826686
"v_csf_Fornix",13.0455995296904
"v_csf_CorticospinaltractR",-0.0184672242684657
"v_csf_CorticospinaltractL",-4.20865942209354
"v_csf_MediallemniscusR",-0.333767643221707
"v_csf_MediallemniscusL",-2.19524758144597
"v_csf_InferiorcerebellarpeduncleR",10.0898755076551
"v_csf_InferiorcerebellarpeduncleL",-6.48744320850379
"v_csf_SuperiorcerebellarpeduncleR",4.25137356882978
"v_csf_SuperiorcerebellarpeduncleL",-4.8982228979963
"v_csf_CerebralpeduncleR",1.9571768442068
"v_csf_CerebralpeduncleL",-0.655960019608737
"v_csf_AnteriorlimbofinternalcapsuleR",0.568898614326135
"v_csf_AnteriorlimbofinternalcapsuleL",-2.23056481455196
"v_csf_.PosteriorlimbofinternalcapsuleR",9.96243482130029
"v_csf_PosteriorlimbofinternalcapsuleL",-5.79838330778311
"v_csf_RetrolenticularpartofinternalcapsuleR",-26.0162051703607
"v_csf_RetrolenticularpartofinternalcapsuleL",5.11317788039885
"v_csf_AnteriorcoronaradiataR",-13.1542038523507
"v_csf_AnteriorcoronaradiataL",12.4899826892652
"v_csf_SuperiorcoronaradiataR",9.73983354440565
"v_csf_SuperiorcoronaradiataL",-5.39625267026534
"v_csf_PosteriorcoronaradiataR",12.9404829267155
"v_csf_PosteriorcoronaradiataL",-17.7223027836332
"v_csf_PosteriorthalamicradiationR",-13.326818806895
"v_csf_PosteriorthalamicradiationL",3.33100325019682
"v_csf_SagittalstratumR",4.82299054472174
"v_csf_SagittalstratumL",16.983128232
"v_csf_ExternalcapsuleR",-14.9893702760737
"v_csf_ExternalcapsuleL",5.14208057739015
"v_csf_CingulumcingulategyrusR",9.45888372496446
"v_csf_CingulumcingulategyrusL",7.28070123839341
"v_csf_CingulumhippocampusR",2.40710432880463
"v_csf_CingulumhippocampusL",5.02710796820528
"v_csf_Fornix_StriaterminalisR",-12.7544306350502
"v_csf_Fornix_StriaterminalisL",-8.19230334967433
"v_csf_SuperiorlongitudinalfasciculusR",-3.30538416211767
"v_csf_SuperiorlongitudinalfasciculusL",-5.80856850964849
"v_csf_SuperiorfrontooccipitalfasciculusR",-3.73409520161271
"v_csf_SuperiorfrontooccipitalfasciculusL",-2.15592873312269
"v_csf_UncinatefasciculusR",-1.9833398093638
"v_csf_UncinatefasciculusL",-0.95704968429447
"v_csf_TapetumR",2.97260818655286
"v_csf_TapetumL",-0.295276338401032
"v_csf_Mean",-142.338807762623
"v_csf_CINGL",-7.65302434098236
"v_csf_CINGR",-12.0017375643385
"micro_Rd_ATRL",9.69840206159209
"micro_Rd_ATRR",22.358813495612
"micro_Rd_CSTL",10.7185934417474
"micro_Rd_CSTR",6.76118689616006
"micro_Rd_CGL",22.1084889892524
"micro_Rd_CGR",4.81415428593959
"micro_Rd_FMAJ",-40.4497117798862
"micro_Rd_FMIN",-25.514355833996
"micro_Rd_IFOFL",35.2684882723375
"micro_Rd_IFOFR",35.685346858683
"micro_Rd_ILFL",13.6707959006289
"micro_Rd_ILFR",10.816119756366
"micro_Rd_SLFL",-8.04333855693026
"micro_Rd_SLFR",31.7041113694585
"micro_Rd_UFL",-17.5850176316797
"micro_Rd_UFR",-3.84262365417184
"micro_Rd_SLFTL",0.0498210846201887
"micro_Rd_SLTFR",-6.32479253824357
"micro_Rd_Middlecerebellarpeduncle",8.66243183688187
"micro_Rd_Pontine",-6.02293796356644
"micro_Rd_GenuCC",37.0511005678855
"micro_Rd_BodyCC",-2.61481210770969
"micro_Rd_SpleniumCC",73.7622547395091
"micro_Rd_Fornix",4.31419733134257
"micro_Rd_CorticospinaltractR",3.12700243610847
"micro_Rd_CorticospinaltractL",-6.21381211993992
"micro_Rd_MediallemniscusR",20.1344413485014
"micro_Rd_MediallemniscusL",0.885660758506424
"micro_Rd_InferiorcerebellarpeduncleR",-13.3464430121925
"micro_Rd_InferiorcerebellarpeduncleL",-14.6492697283361
"micro_Rd_SuperiorcerebellarpeduncleR",3.69685052599731
"micro_Rd_SuperiorcerebellarpeduncleL",7.18341146961305
"micro_Rd_CerebralpeduncleR",14.5421398381693
"micro_Rd_CerebralpeduncleL",-10.19549034172
"micro_Rd_AnteriorlimbofinternalcapsuleR",0.221946424773081
"micro_Rd_AnteriorlimbofinternalcapsuleL",-2.08818030374524
"micro_Rd_.PosteriorlimbofinternalcapsuleR",-6.78624406512708
"micro_Rd_PosteriorlimbofinternalcapsuleL",3.18264829918132
"micro_Rd_RetrolenticularpartofinternalcapsuleR",-6.63763065975752
"micro_Rd_RetrolenticularpartofinternalcapsuleL",9.55082784472003
"micro_Rd_AnteriorcoronaradiataR",-0.443435253976428
"micro_Rd_AnteriorcoronaradiataL",2.76927409225307
"micro_Rd_SuperiorcoronaradiataR",-5.83348938547125
"micro_Rd_SuperiorcoronaradiataL",-6.54647873995997
"micro_Rd_PosteriorcoronaradiataR",18.8718292130884
"micro_Rd_PosteriorcoronaradiataL",5.76569729357057
"micro_Rd_PosteriorthalamicradiationR",-29.056508551356
"micro_Rd_PosteriorthalamicradiationL",-4.54042428249095
"micro_Rd_SagittalstratumR",-17.9709004235278
"micro_Rd_SagittalstratumL",-9.92523650962522
"micro_Rd_ExternalcapsuleR",-1.45130980169428
"micro_Rd_ExternalcapsuleL",-6.50756019114883
"micro_Rd_CingulumcingulategyrusR",-0.791506962280835
"micro_Rd_CingulumcingulategyrusL",-0.00906197048555601
"micro_Rd_CingulumhippocampusR",7.94549512719845
"micro_Rd_CingulumhippocampusL",-26.5278846841231
"micro_Rd_Fornix_StriaterminalisR",-10.3859907370259
"micro_Rd_Fornix_StriaterminalisL",0.944379183058618
"micro_Rd_SuperiorlongitudinalfasciculusR",-3.77308952849673
"micro_Rd_SuperiorlongitudinalfasciculusL",-18.653498787811
"micro_Rd_SuperiorfrontooccipitalfasciculusR",2.51508793500979
"micro_Rd_SuperiorfrontooccipitalfasciculusL",-7.75881926505637
"micro_Rd_UncinatefasciculusR",-0.402984524004102
"micro_Rd_UncinatefasciculusL",2.21401949540563
"micro_Rd_TapetumR",-0.105147590283807
"micro_Rd_TapetumL",-1.32714627905254
"micro_Rd_Mean",-58.6831801175761
"micro_Rd_CINGL",13.1363719124415
"micro_Rd_CINGR",12.2760946906467
"micro_FA_ATRL",242.173318327288
"micro_FA_ATRR",-131.92258784411
"micro_FA_CSTL",22.6604874823861
"micro_FA_CSTR",4.31298703638228
"micro_FA_CGL",77.2467256092428
"micro_FA_CGR",32.4680956081198
"micro_FA_FMAJ",-66.4009806584614
"micro_FA_FMIN",19.6807615759087
"micro_FA_IFOFL",118.502139819011
"micro_FA_IFOFR",-55.4656990232584
"micro_FA_ILFL",-120.491868505374
"micro_FA_ILFR",321.63843961837
"micro_FA_SLFL",-27.5560396004182
"micro_FA_SLFR",117.368911627301
"micro_FA_UFL",106.896183154267
"micro_FA_UFR",-15.2548760330387
"micro_FA_SLFTL",30.6015582218921
"micro_FA_SLTFR",26.6283002534376
"micro_FA_Middlecerebellarpeduncle",64.5203831595708
"micro_FA_Pontine",-10.3834036616454
"micro_FA_GenuCC",78.3749838128457
"micro_FA_BodyCC",-140.614654527544
"micro_FA_SpleniumCC",209.142689783039
"micro_FA_Fornix",13.6227082270244
"micro_FA_CorticospinaltractR",16.7946911601899
"micro_FA_CorticospinaltractL",-8.73696498796179
"micro_FA_MediallemniscusR",46.1285750527204
"micro_FA_MediallemniscusL",30.4635470148676
"micro_FA_InferiorcerebellarpeduncleR",-78.6152149245982
"micro_FA_InferiorcerebellarpeduncleL",-25.5169869477798
"micro_FA_SuperiorcerebellarpeduncleR",-28.066245957399
"micro_FA_SuperiorcerebellarpeduncleL",-19.2705607296169
"micro_FA_CerebralpeduncleR",-2.45570839021037
"micro_FA_CerebralpeduncleL",0.148327408996916
"micro_FA_AnteriorlimbofinternalcapsuleR",65.4794426040534
"micro_FA_AnteriorlimbofinternalcapsuleL",-79.0816464371192
"micro_FA_.PosteriorlimbofinternalcapsuleR",-180.389870173649
"micro_FA_PosteriorlimbofinternalcapsuleL",37.2304327901677
"micro_FA_RetrolenticularpartofinternalcapsuleR",-69.9939951860554
"micro_FA_RetrolenticularpartofinternalcapsuleL",-118.132882971838
"micro_FA_AnteriorcoronaradiataR",-38.6910463367787
"micro_FA_AnteriorcoronaradiataL",-29.7387673701205
"micro_FA_SuperiorcoronaradiataR",109.561248686496
"micro_FA_SuperiorcoronaradiataL",-30.6768535608153
"micro_FA_PosteriorcoronaradiataR",33.2899699942136
"micro_FA_PosteriorcoronaradiataL",-74.9018779543307
"micro_FA_PosteriorthalamicradiationR",-24.7371174987099
"micro_FA_PosteriorthalamicradiationL",-101.206328032131
"micro_FA_SagittalstratumR",-134.193494861431
"micro_FA_SagittalstratumL",91.2671137675271
"micro_FA_ExternalcapsuleR",3.752164308672
"micro_FA_ExternalcapsuleL",-141.676059626957
"micro_FA_CingulumcingulategyrusR",65.9840641599787
"micro_FA_CingulumcingulategyrusL",-33.0236399916687
"micro_FA_CingulumhippocampusR",-15.9422802867257
"micro_FA_CingulumhippocampusL",-78.2964591705769
"micro_FA_Fornix_StriaterminalisR",-29.0216584148753
"micro_FA_Fornix_StriaterminalisL",-60.659009992987
"micro_FA_SuperiorlongitudinalfasciculusR",-73.1388911028734
"micro_FA_SuperiorlongitudinalfasciculusL",-10.5280210810972
